id,Phase,Schritt,Unterschritt = Titel,Text,Tags ,Verlinkung zu anderen Texten (Listen Titel),weitere Hinweise -> evtl. noch einarbeiten in Text,Ideen / Fragen,Inhalt fertig ,geprüft,Hochgeladen in Tool,
11,Konzeptionsphase,Struktur und Organisation,Rechtsform der Trägerschaft,"Die Klärung des Rechtsform der Trägerschaft ist ein zentraler Aspekt bei den strukturellen Überlegungen. Es hat sich bewährt, dass ein Pfadiheim einem separaten Heimverein ""gehört"", so sind die Risiken Pfadibetrieb-Pfadiheim auch juristisch klar getrennt. Denkbar ist auch die Errichtung einer Stiftung als Trägerin des Pfadiheims, dies ist aber recht aufwändig.  
Sowohl ein Heimverein wie auch eine Stiftung können von der kant. Steuerverwaltung als gemeinnützig (Steuerbefreit) anerkannt werden. Dies ist ein recht aufwändiger Prozess, der 1-2 Jahre dauern kann, kann sich aber uU sehr lohnen. So unterstützen viele Lotteriefonds und vermehrt auch Vergabestiftungen einen Pfadiheimbau nur, wenn die Steuerbefreitung vorliegt. Falls juristische Unterstützung gefragt ist, kann die Stiftung Pfadiheime ""Pfadi-Fachjuristen"" vermitteln.

Beispiel Heimvereinstatuten als Download","Trägerschaft, Rechtsform, Risiken",17,,,Ri,Strübi erledigt,,
12,Konzeptionsphase,Struktur und Organisation,Anforderungen an die Trägerschaft,"Der Verein oder die Stiftung, welchen das (zukünftige) Heim gehört, müssen nach Gesetz korrekte Strukturen aufweisen (ZGB Art. 79ff resp. 80ff). Es gilt, Statuten auszuarbeiten, geeignete Leute für Vorstand oder Siftungsrat zu finden und dann eine Gründungsversammlung durchzuführen. Dazu stellt die Stiftung Pfadiheime gerne Musterstatuten/Gründungsprotokolle etc. zur Verfügung.","Verein, Stiftung, Organisation, Rechtliches",16,,,Ri,Strübi erledigt,,
13,Konzeptionsphase,Struktur und Organisation,Organisation Projektteam,"Ein Projekt soll zeitlich und personell strukturiert sein. Dazu gehört die Erarbeitung der Organisation eines Projektteams, deren Leitung, eine mögliche Baukommission und der Beibezug von Expert*innen. Es ist zentral, eine Projektleitung einzusetzen! Sie ist neben der hauptsächlichen Ansprechperson auch für die Meilensteine verantwortlich und bespricht deren Aktualisierung regelmässig mit dem Planungsteam. Die Projektleitung sollte für diese Aufgabe genügend Zeit haben. Stellt euch die wichtige Frage, ob eine AL oder aktive Leitende tatsächlich die richtigen Personen dafür sind! Kann/Soll diese Person durch eine bezahlte Person ergänzt oder gar ersetzt werden? Mit fortschreitender Zeit des Projekts wird auch die Motivation des Teams ein wichtiger Teil werden. Sinnvollerweise sollte eine übergeordnete Gruppe dafür zuständig sein, z.B. das Elternkomitee. 

Überlegt euch bei der Suche für das Planungsteam: Wie sieht unser Netzwerk der Pfadi aus, welche Berufsgruppen haben wir vertreten? 

Achtung: Überschneiden sich die Tätigkeiten von Ehrenamtlichen und eine Berufsexpert*in so ist die Absprache rund um ehrenamtliche Tätigkeit und auch bezahlte Arbeit unabdingbar. Sprecht mögliche Problemfelder unbedingt früh genug an!","Projektteam, Projektleitung, Experten, Expert*innen, Ehrenamt","12, 19, 13","Beschreiben? Gerade von Pfadi-Firmen werden grosse Rabatte erwartet. Aber gerade Kleinfirmen können das gar nicht bieten. Warum erwarten wir das? Wieso wollen/können wir keine fairen Preise bezahlen für (Handwerks)Arbeit? Was ist wichtiger: Pfadifirma oder billig? Was ist dann mit Nachhaltigkeit, auch sozialer Art?","Dokument Beispiele einer Projektorganisation?

Gibt es Hinweise / Infos bezügich ehrenamtlicher Leistung?",Ri,,,
14,über alle Phasen,Struktur und Organisation,Ehrenamtliche Leistung,"Gerade bei sehr aufwändigen und zeitintensiven Projekten ist es wichtig, den Beitrag der aktiven Pfadis in der Abteilung in jeder Phase klar definieren und zu klären, was überhaupt im Ehrenamt geleistet werde kann. Dasselbe gilt für die Leistungen von Personen im Projektteam oder Rovern, die z.B. als Handwerker*innen beigezogen werden. Sinnvoll ist es, wenn ihr vorgängig festhaltet, wann es für Pfadi-Handwerker*innen oder -planer*innen eine Schwelle des Machbaren überschreitet. Diskutiert das unbedingt früh genug, nicht erst, wenn Pläne fehlen oder Arbeiten nicht wie vereinbart fertig gestellt werden.
Einen Pfadiheimprojekt kann dann umgesetzt werden, wenn Durchhaltewillen und genügend Personen, welche das Projekt tragen an Bord sind. Dabei ist Kommunikation, Dank und Anerkennung sehr wichtig, damit der Atem nicht ausgeht.","Ehrenamt, Dank und Anerkennung","Dank und Anerkunng, Abrechnung",,,Ri,"Hier nochmals überprüfen

habe ich, was genau war die offene Frage? 20 + 21 sind mega ähnlich, was soll genau die Aussage sein? Benötigen wir ein Hilfsmittel, eine Art Schlüssel oder gibt es so etwas schon?",,
15,über alle Phasen,Struktur und Organisation,Ehrenamtliche Leistung: Abrechnung,"Bei Gesuchen an Stiftungen oder den Lotteriefonds kann es wichtg sein, die ehrenamtich geleisteten Stunden auszuweisen. Dies betrifft dann auch die Planung, Sitzungen, Bauführung, etc. Für die Gesuche müssen diese als monetäre Eigenleistungen ausgewiesen werden und/oder sauber von bezahlten Leistungen abgegrenzt werden können. weisen. 

Jemand im Projektteam soll den Auftrag erhalten, diese Auflistungen zu führen. 
Die Aufgaben müssen im Vornherein klar abgegrenzt werden zwischen ehrenamtlich und bezahlt.",,"21, 22","Strübi : Planungshilfsmittel?: was ist ehrenamtlich sinnvoll, was weniger, was unmöglich? Vielleicht so eine Vorlage erstellen?",,,Ormiga formuliert Text 20 & 21 verbinden,,
16,Konzeptionsphase,Struktur und Organisation,Beizug Fachpersonen,"Sucht in eurem Netzwerk nach einer passenden Person, welche die professionelle Planung machen kann. Dies kann eine Architekt*in oder auch eine Bauplaner*in oder Bauzeichner*in sein. Wichtig ist, dass ihr euch vorgängig überlegt, wie ihr diese Arbeit entschädigen werdet. Der Aufwand ist in keinem Fall zu unterschätzen und übersteigt in der Regel die Möglichkeiten von Ehrenamtlichen. Die Kosten für eine professionelle Planungsperson müssen unbedingt früh genug budgetiert werden.","Ehrenamt, Planer*in, Archtiekt*in, professionell, Entschädigung","17, 18",,,Ri,ja,,
17,Konzeptionsphase,Struktur und Organisation,Suche nach einer Bauleitung,"Ebenfalls in eurem Netzwerk kann die Suche nach einer Bauleitung los gehen. Bei dieser Funktion ist es nötig, dass die Person auch an Arbeitstagen und während den Bürozeiten manchmal verfügbar ist. In der ""heissen"" Bauphase kann dies häufig der Fall sein. Diese Anforderung muss klar kommuniziert werden und auch hier sind Überlegungen zur Entschädigung nötig. Diese sollte während dem Prozess auch mal wieder überprüft werden und ob die Person mit der aktuellen Vereinbarung weiterhin so arbeiten kann, wie es für das Projekt und sie selber nötig ist.","Ehrenamt, Bauleitung, Entschädigung","13, 19, 20",,,,,,
18,Konzeptionsphase,Finanzierung,Kostenschätzung,"Für das Projekt sollte in einem ersten Schritt eine generelle Tragbarkeit erstellt werden. Dazu benötigt ihr eine Kostenschätzung, die die ungefähren Eckdaten abbildet. Die generellen Überlegungen sowie die erwarteten Enschädigungen für den Beizug von Fachpersonal bilden dazu die Grundlage. Sinnvollerweise erstellt diese Schätzung eine Planer*in zusammen mit der Kassier*in oder einer Finanzfachperson aus eurem Pfadiumfeld.",Tragbarkeit,,,"Gibt es hier Beispiele? Wieviel kostet die Planung, ungefähre Eckdaten für typische (Um)Bautätigkeiten wie Fassaden erneuern, neue Küche, Bäder sanieren, Böden erneuern/Trittschall verbessern, Anbauten, Treppenhäuser erneuern etc.",,,,
19,Konzeptionsphase,Finanzierung,Kostenplanung,"Basierend auf der Kostenschätzung benötigt ihr einen ersten Wurf eines Businessplanes und Finanzierungplans. Daraus ergeben sich dann einige, viel spezifischer Fragen z.B. bezüglich einer Hypothek. Wichtig in diesem Prozessschritt ist auch die Liquiditätsplanung: Wann braucht es wieviel cash und wer ist verantwortlich für die Bezahlung von Löhnen? In die Planung solltet ihr auch Beiträge von Stiftungen und Fundraising einberechnen.

www.fundraiso.ch

Download Antrag an Pfadistiftung
","Hypothek, Liquiditätsplanung, Pfadistiftung",11,www.fundraiso.ch,"Download Antragsformular
Ist der Lotteriefonds unabhänging oder läuft das Parallel?
Es gibt Probleme beim Vermieten, soviel ich weiss. Ist das noch so?",Ri,,,
20,Konzeptionsphase,Finanzierung,Betriebskosten,"In den Businessplan gehört auch ein Abschnitt zu den Betriebskosten. Dieser kann erst später präzisiert werden, aber es ist nötig, dass mit den generellen Überlegungen, zur Vermietung und allgemeinen Nutzung (Unterhalt, Abwart, Übergaben/Abnahmen). Die Ausrichtung verursacht unterschiedliche Kosten und auch Einnahmen (erwartete Spenden?). Diese Planung muss langfristig sein und für mehrere Jahre gesichert, inkl. Rückstellungen.","Betriebskosten, Ausgaben, Planungsbudget, Auslastungsplanung",,Hier ein Beispiel verlinken? -> Filou ,,,,,
21,Planungsphase,Art und Weise des Projekts,Raumaufteilung,"Im Planungsteam erstellt ihr eine mögliche und gewünschte Raumaufteilung. Ihr habt aus der Erhebung Bedürfnisse und des Raumbedarfs die Grundlagen, darauf könnt ihr jetzt in Zusammenarbeit mit der Planer*in eine erste Raumaufteilung erarbeiten. Der Platz am gewählten Standort gibt euch natürlich einiges vor. Bedenkt auch Möglichkeiten für eine gewisse Raumflexibilität, wenn sich die Bedürfnisse der Abteilung ändern (z.B. mehr Wölfe, neue Piostufenéquipe, etc.). Es hat sich bewährt, 2 -3 andere (neue) Heime anzusehen und dort z.B. mit Leitenden und der Hauswärtin zu sprechen über Vor- und Nachteile.",Raumbedarf,,Ein Beispiel für eine Raumaufteilung,,,,,
22,Planungsphase,Art und Weise des Projekts,Raumbedarf,"Je nach Nutzung stellen sich verschiedene Fragen. 
- Welche Räume benötigt die Abteilung als Gruppenräume?
- Welcher Bedarf besteht für Materiallagerung?
- Wenn die Abteilung bei Schlechtwetter im Heim ist: wie sollen die Garderoben eingerichtet sein, damit sie praktisch sind (z.B. Brünneli und Putzsachen nahe beim Ausgang, Haken auf Wölfli-Höhe, Materialraum mit Dreckschuhen betretbar, etc.)
- Wie viele Betten werden für den normalen Abteilungsbetrieb benötigt? -- Welche Grösse müssen Küche, Waschräume, Duschen, Aufenthaltsraum u.s.w. haben? (x Betten = y Sanitäranlagen (Link Sanitäranlagen im Bereich Gastro)

Sollte das Heim für Kurse genutzt werden können, werden ungefähr diese Räume benötigt:
- Schlafräume Teilnehmende 24 bis ca. 36 Plätze
- Schlafraum Leitungsteam 8 - 10 Plätze
- Schlafraum Küchenteam 4 - 6 Plätze
- 1-2 grössere Aufenthaltsräume mit Tischen
- 1-2 Gruppenräume

Aufgepasst, bei der Sammlung des Raumbedarfs wird häufig zu gross gerechnet. Auch hier lohnt es sich, nebst anderen Häuser anzuschauen, diese in der Grösse (bspw. Vergleich m2 der Räume) und mit einer Architekt*in die Raumbedürfnisse zu reflektieren. Dabei soll auch die Nutzungsüberlagerung betrachet werden, z.B. kann ein Raum als Besprechungsraum und auch als Schlafraum genutzt werden.","Raumeinteilung, Generelle Überlegungen",Lärm,rot vielleicht eher zur EInrichtung /Mobiliar?,,Or,,,
23,Planungsphase,Art und Weise des Projekts,Gastronomie,"Erstellung eines Gastronomiekonzepts für die Erarbeitung der benötigte Küchengeräte und Platzbedarf. Richtet euch dabei an der vorgesehenen Nutzung aus, welche Leitlinien für die Einrichtung gibt. Überlegt euch, dass die Küche gut begehbar sein soll und auch, ob ihr gewisse Einrichtungen so anpassen möchtet, dass auch die Wölfe und Pfadis mithelfen können (Waschbecken erreichbar, Backofen und Vorratsflächen auf Kinderhöhe etc.). Je nach Nutzung (Vermietung oder nicht) gibt es Vorschriften betreffend Hygiene und erlaubten Materialien. Fragt dazu beim kantonalen Lebensmitelinspektorat nach, wenn eure Bauplaner*in/Architekt*in dies nicht kennt.
Auch die Küchengerätesollten den Bedürfnissen eines Pfadibetriebens entsprechen: komplexe Apparate wie Steamer, Kippbratkesseln u.ä. sind teuer in Anschaffung und Unterhalt und sind eher auf die Bedienung durch Profis ausgerichtet als auf eine Bedienung durch Laien.

Viele Gastrogeräte und Chromstahlelemente gibt es im Occasions-Handel oder bei Baubörsen. Informiert euch dazu bei ???","Gastronomie, Küchen, Kochen, Geräte","Mobiliar, 13, 27, 36",Wo sind diese Occasions-Handel..??,"Strübi: Gastrogeräte und Chrostahlelemente gibt es im Occ. Handel oder bei Baubörsen.
Ev. gilt es Vorschriften betr. Hygiene, erlaubte Materialien  etc. (=>Lebensmittelinspektorat) zu beachten.
Hinweis zu Ausrüstung in Abhängigkeit mit Grösse / Bedürfnis 

bzgl. Lebensmitteltechnologie, evtl. 2. Text",Ri,,,
24,Planungsphase,Art und Weise des Projekts,Sanitärräume,"Für die Sanitärräume gibt es viele Erfahrungen, was sich bewährt und was nicht. 
Einige Tipps: 
- Für die Übernachtung mit Bibern/Wölfen ist es wichtig, Toiletten nahe bei den Schlafräumen zu haben. 
- Die Brünneli und Hahnen sollten auch für die Kleinen gut erreichbar sein. Dasselbe gilt für Haken für die Kleider, Neccessaires, Tüechli. Auch Schemel sind hilfreich.
- Für den Abteilungsbetrieb ist es sehr wertvoll, eine Toilette so zugänglich zu haben, dass sie während dem Pfadibetrieb schnell zugänglich ist, wenn möglich sogar mit Dreckschuhen. 
- Auch ein Wasserhahn in der Nähe des Spielflächen ist immer praktisch. 
- Es empfiehlt sich, keine Fenster in Duschennähe zu haben wegen der Einsicht (auch Umkleide).
- Duschen sind geschlechtergetrennt zu planen. Wo dies platzmässig schwierig ist, sind Einzelkabinen eine gute Lösung.
- Viele Konflikte und unangenehme Situationen können bei Einzeltoiletten ohne Geschlechtertrennung umgangen werden. Die Toiletten sollten nicht an die Waschräume oder Duschen gekoppelt sein.","Raumeinteilung, Raumbedarf,",,"Weitere Hinweise zu Duschen nötig? z.B: Geschlechergetrennt, wenn zu wenig Platz für getrennte Duschen Einzelduschkabinen planen?",,Ri,ja,,
25,Planungsphase,Art und Weise des Projekts,Warmwassererzeugung,"Die Warmwassererzeugung ist eine zweite Frage im Rahmen der Heizsysteme. Es ist natürlich nicht ganz losgelöst, aber es gibt je nach Nutzung durchaus der Sinn, verschiedene Systeme zu nutzen. Hier lohnt es sich, beraten zu lassen. Wenn die Planer*in oder Architekt*in dazu zu wenig Erfahrung mitbringt, soll diese euch weitere Kontakte angeben.

Hilfreiche Links:
- https://www.energie-zentralschweiz.ch/fachinformationen/muken.html
- https://www.buildigo.ch/de/article/energieberater (Fachstelle der Mobiliar)
- kantonale Förderprogramme","Sanitäre Anlagen, Warmwasser, Warmwassererzeugung, Heizsysteme","31, 33",,,Ri,ja,,
